TIME,Addition_2.s_out.signal[1],SensorVoltage_1.v
0.0,0.0,0.0
0.00145752653,0.782172325,0.035726253
0.00291505306,1.54508497,0.133478589
0.00437257959,2.2699525,0.279739632
0.00583010613,2.93892626,0.461759908
0.00728763266,3.53553391,0.667525163
0.00874515919,4.04508497,0.885766637
0.0102026857,4.45503262,1.10600444
0.0116602123,4.75528258,1.31861132
0.0131177388,4.9384417,1.51488783
0.0145752653,5.0,1.68715206
0.0160327918,4.9384417,1.82881445
0.0174903184,4.75528258,1.93445534
0.0189478449,4.45503262,1.99988125
0.0204053714,4.04508497,2.02217188
0.021862898,3.53553391,1.99969906
0.0233204245,2.93892626,1.93212776
0.024777951,2.2699525,1.8203905
0.0262354776,1.54508497,1.66663657
0.0276930041,0.782172325,1.47415653
0.0291505306,-3.82858892e-15,1.24728041
0.0306080572,-0.782172325,0.991259909
0.0320655837,-1.54508497,0.712121549
0.0335231102,-2.2699525,0.416510316
0.0349806368,-2.93892626,0.111518635
0.0364381633,-3.53553391,-0.195499129
0.0378956898,-4.04508497,-0.497110665
0.0393532163,-4.45503262,-0.785992383
0.0408107429,-4.75528258,-1.05511983
0.0422682694,-4.9384417,-1.2979361
0.0437257959,-5.0,-1.50851891
0.0451833225,-4.9384417,-1.68173487
0.046640849,-4.75528258,-1.81334954
0.0480983755,-4.45503262,-1.90016796
0.0495559021,-4.04508497,-1.94006859
0.0510134286,-3.53553391,-1.93209686
0.0524709551,-2.93892626,-1.87646744
0.0539284817,-2.2699525,-1.77456445
0.0553860082,-1.54508497,-1.62890878
0.0568435347,-0.782172325,-1.44309353
0.0583010613,-1.89881747e-14,-1.22170582
0.0597585878,0.782172325,-0.970205156
0.0612161143,1.54508497,-0.69478737
0.0626736409,2.2699525,-0.402238049
0.0641311674,2.93892626,-0.0997670986
0.0655886939,3.53553391,0.205175119
0.0670462204,4.04508497,0.505076811
0.068503747,4.45503262,0.792551888
0.0699612735,4.75528258,1.06052031
0.0714188,4.9384417,1.30238063
0.0728763266,5.0,1.51217752
0.0743338531,4.9384417,1.6847443
0.0757913796,4.75528258,1.81582887
0.0772489062,4.45503262,1.90220718
0.0787064327,4.04508497,1.94174837
0.0801639592,3.53553391,1.93347941
0.0816214858,2.93892626,1.87760401
0.0830790123,2.2699525,1.77549708
0.0845365388,1.54508497,1.62967265
0.0859940654,0.782172325,1.4437212
0.0874515919,3.73640463e-14,1.22222099
0.0889091184,-0.782172325,0.970626685
0.0903666449,-1.54508497,0.695132733
0.0918241715,-2.2699525,0.402522638
0.093281698,-2.93892626,0.100001962
0.0947392245,-3.53553391,-0.20498138
0.0961967511,-4.04508497,-0.504917415
0.0976542776,-4.45503262,-0.792421051
0.0991118041,-4.75528258,-1.06041208
0.100569331,-4.9384417,-1.30229555
0.102026857,-5.0,-1.51210753
0.103484384,-4.9384417,-1.68468777
0.10494191,-4.75528258,-1.81578516
0.106399437,-4.45503262,-1.90217074
0.107856963,-4.04508497,-1.94171949
0.10931449,-3.53553391,-1.93345667
0.110772016,-2.93892626,-1.87758533
0.112229543,-2.2699525,-1.77548156
0.113687069,-1.54508497,-1.62965979
0.115144596,-0.782172325,-1.44371233
0.116602123,-6.46217021e-14,-1.22221623
0.118059649,0.782172325,-0.970624481
0.119517176,1.54508497,-0.695130185
0.120974702,2.2699525,-0.402519643
0.122432229,2.93892626,-0.0999980206
0.123889755,3.53553391,0.204985306
