TIME,Addition_2.s_out.signal[1],SensorVoltage_1.v
0.0,0.0,0.0
0.0005,0.782172325,0.0127773207
0.001,1.54508497,0.049690294
0.0015,2.2699525,0.108253127
0.002,2.93892626,0.185548626
0.0025,3.53553391,0.278293474
0.003,4.04508497,0.382912962
0.0035,4.45503262,0.49562332
0.004,4.75528258,0.612519213
0.0045,4.9384417,0.729665336
0.005,5.0,0.843188346
0.0055,4.9384417,0.949368145
0.006,4.75528258,1.04472446
0.0065,4.45503262,1.12610031
0.007,4.04508497,1.19073691
0.0075,3.53553391,1.23632855
0.008,2.93892626,1.26109292
0.0085,2.2699525,1.26379843
0.009,1.54508497,1.24380005
0.0095,0.782172325,1.20104722
0.01,-8.269481020000001e-15,1.13608498
0.0105,-0.782172325,1.05003803
0.011,-1.54508497,0.944580845
0.0115,-2.2699525,0.821893472
0.012,-2.93892626,0.68461017
0.0125,-3.53553391,0.535745971
0.013,-4.04508497,0.37862731
0.0135,-4.45503262,0.216803397
0.014,-4.75528258,0.0539609069
0.0145,-4.9384417,-0.106168576
0.015,-5.0,-0.259902769
0.0155,-4.9384417,-0.403700109
0.016,-4.75528258,-0.53424794
0.0165,-4.45503262,-0.648545183
0.017,-4.04508497,-0.743977303
0.0175,-3.53553391,-0.818381017
0.018,-2.93892626,-0.870099001
0.0185,-2.2699525,-0.898021065
0.019,-1.54508497,-0.901612675
0.0195,-0.782172325,-0.880928527
0.02,2.09798541e-14,-0.836611749
0.0205,0.782172325,-0.769878816
0.021,1.54508497,-0.68248989
0.0215,2.2699525,-0.576706447
0.022,2.93892626,-0.455235798
0.0225,3.53553391,-0.321163922
0.023,4.04508497,-0.177882257
0.0235,4.45503262,-0.0290048453
0.024,4.75528258,0.121725962
0.0245,4.9384417,0.270525373
0.025,5.0,0.413656113
0.0255,4.9384417,0.54753844
0.026,4.75528258,0.668809914
0.0265,4.45503262,0.774429405
0.027,4.04508497,0.861742393
0.0275,3.53553391,0.92855114
0.028,2.93892626,0.973163697
0.0285,2.2699525,0.994438737
0.029,1.54508497,0.991812087
0.0295,0.782172325,0.965310685
0.03,-3.36902273e-14,0.915551866
0.0305,-0.782172325,0.843727833
0.031,-1.54508497,0.751578998
0.0315,-2.2699525,0.641340399
0.032,-2.93892626,0.515701123
0.0325,-3.53553391,0.377730607
0.033,-4.04508497,0.230802109
0.0335,-4.45503262,0.0785111961
0.034,-4.75528258,-0.0754126985
0.0345,-4.9384417,-0.227198439
0.035,-5.0,-0.373127348
0.0355,-4.9384417,-0.509622875
0.036,-4.75528258,-0.633340491
0.0365,-4.45503262,-0.741247415
0.037,-4.04508497,-0.830700587
0.0375,-3.53553391,-0.899511306
0.038,-2.93892626,-0.945996731
0.0385,-2.2699525,-0.969023817
0.039,-1.54508497,-0.968036269
0.0395,-0.782172325,-0.94306826
0.04,4.19597083e-14,-0.894743908
0.0405,0.782172325,-0.824261811
0.041,1.54508497,-0.733365687
0.0415,2.2699525,-0.624301161
0.042,2.93892626,-0.499761232
0.0425,3.53553391,-0.362818826
0.043,4.04508497,-0.216851964
