TIME,Addition_2.s_out.signal[1],SensorVoltage_1.v
0.0,0.0,0.0
0.00025,0.782172325,0.00645947649
0.0005,1.54508497,0.0253959145
0.00075,2.2699525,0.055928772
0.001,2.93892626,0.0969055361
0.00125,3.53553391,0.146929667
0.0015,4.04508497,0.204394576
0.00175,4.45503262,0.267522786
0.002,4.75528258,0.334409115
0.00225,4.9384417,0.403067522
0.0025,5.0,0.471479307
0.00275,4.9384417,0.537642748
0.003,4.75528258,0.599621813
0.00325,4.45503262,0.655593298
0.0035,4.04508497,0.703892105
0.00375,3.53553391,0.743051226
0.004,2.93892626,0.771837827
0.00425,2.2699525,0.789283346
0.0045,1.54508497,0.794706941
0.00475,0.782172325,0.787732063
0.005,-8.269481020000001e-15,0.768295382
0.00525,-0.782172325,0.73664951
0.0055,-1.54508497,0.693351703
0.00575,-2.2699525,0.639255388
0.006,-2.93892626,0.57548778
0.00625,-3.53553391,0.503419447
0.0065,-4.04508497,0.424633082
0.00675,-4.45503262,0.340883016
0.007,-4.75528258,0.254050572
0.00725,-4.9384417,0.166100153
0.0075,-5.0,0.0790286963
0.00775,-4.9384417,-0.00518273554
0.008,-4.75528258,-0.0846181932
0.00825,-4.45503262,-0.15747381
0.0085,-4.04508497,-0.222102757
0.00875,-3.53553391,-0.277057133
0.009,-2.93892626,-0.321121968
0.00925,-2.2699525,-0.353344296
0.0095,-1.54508497,-0.373059688
0.00975,-0.782172325,-0.379908083
0.01,2.09798541e-14,-0.373841459
0.01025,0.782172325,-0.355125939
0.0105,1.54508497,-0.324335288
0.01075,2.2699525,-0.282336779
0.011,2.93892626,-0.230270338
0.01125,3.53553391,-0.169520087
0.0115,4.04508497,-0.101680454
0.01175,4.45503262,-0.0285179273
0.012,4.75528258,0.0480742326
0.01225,4.9384417,0.126121069
0.0125,5.0,0.203612942
0.01275,4.9384417,0.278558415
0.013,4.75528258,0.349031755
0.01325,4.45503262,0.413219581
0.0135,4.04508497,0.469464838
0.01375,3.53553391,0.516309977
0.014,2.93892626,0.55253006
0.01425,2.2699525,0.577165454
0.0145,1.54508497,0.589543178
0.01475,0.782172325,0.589294446
0.015,-3.36902273e-14,0.576363325
0.01525,-0.782172325,0.551008945
0.0155,-1.54508497,0.513797149
0.01575,-2.2699525,0.465588745
0.016,-2.93892626,0.407515804
0.01625,-3.53553391,0.340955094
0.0165,-4.04508497,0.267496135
0.01675,-4.45503262,0.18889812
0.017,-4.75528258,0.107048614
0.01725,-4.9384417,0.023917585
0.0175,-5.0,-0.0584925691
0.01775,-4.9384417,-0.138195829
0.018,-4.75528258,-0.213271092
0.01825,-4.45503262,-0.281909201
0.0185,-4.04508497,-0.342459032
0.01875,-3.53553391,-0.393467182
0.019,-2.93892626,-0.433715521
0.01925,-2.2699525,-0.462246657
0.0195,-1.54508497,-0.47839224
0.01975,-0.782172325,-0.48178729
0.02,4.19597083e-14,-0.472381462
0.02025,0.782172325,-0.450435882
0.0205,1.54508497,-0.416521915
0.02075,2.2699525,-0.371502338
0.021,2.93892626,-0.316513409
0.02125,3.53553391,-0.252936021
0.0215,4.04508497,-0.182362629
0.02175,4.45503262,-0.106555197
0.022,4.75528258,-0.0274050363
0.02225,4.9384417,0.0531150785
0.0225,5.0,0.132998215
0.02275,4.9384417,0.210257648
0.023,4.75528258,0.282969499
0.02325,4.45503262,0.349322183
0.0235,4.04508497,0.407661719
0.02375,3.53553391,0.456532431
0.024,2.93892626,0.494712241
0.02425,2.2699525,0.521242978
0.0245,1.54508497,0.535454175
0.02475,0.782172325,0.536978617
0.025,-5.91109735e-14,0.525762607
0.02525,-0.782172325,0.502066518
0.0255,-1.54508497,0.466458594
0.02575,-2.2699525,0.419800806
0.026,-2.93892626,0.363227777
0.02625,-3.53553391,0.298118683
0.0265,-4.04508497,0.226063349
0.02675,-4.45503262,0.148823057
0.027,-4.75528258,0.0682871842
0.02725,-4.9384417,-0.0135732173
0.0275,-5.0,-0.0947541744
0.02775,-4.9384417,-0.173268295
0.028,-4.75528258,-0.247193462
0.02825,-4.45503262,-0.314719241
0.0285,-4.04508497,-0.374193109
0.02875,-3.53553391,-0.42416111
0.029,-2.93892626,-0.463402134
0.02925,-2.2699525,-0.490959332
0.0295,-1.54508497,-0.506163152
0.02975,-0.782172325,-0.508647856
0.03,6.73804545e-14,-0.498360642
0.03025,0.782172325,-0.475562885
0.0305,1.54508497,-0.440823859
0.03075,2.2699525,-0.395007062
0.031,2.93892626,-0.339248076
0.03125,3.53553391,-0.274925799
0.0315,4.04508497,-0.203631246
0.03175,4.45503262,-0.127126699
0.032,4.75528258,-0.0473021919
0.03225,4.9384417,0.033870117
0.0325,5.0,0.114385676
0.03275,4.9384417,0.192256087
0.033,4.75528258,0.265558375
0.03325,4.45503262,0.332482099
0.0335,4.04508497,0.391365799
0.03375,3.53553391,0.440770965
0.034,2.93892626,0.479468129
0.03425,2.2699525,0.506499436
0.0345,1.54508497,0.521193828
