TIME,Addition_2.s_out.signal[1],SensorVoltage_1.v
0.0,0.0,0.0
0.0328966612,0.782172325,0.23301063
0.0657933225,1.54508497,0.601380523
0.0986899837,2.2699525,0.970703985
0.131586645,2.93892626,1.31786709
0.164483306,3.53553391,1.63277888
0.197379967,4.04508497,1.90750849
0.230276629,4.45503262,2.13527203
0.26317329,4.75528258,2.310457
0.296069951,4.9384417,2.42875133
0.328966612,5.0,2.48724061
0.361863274,4.9384417,2.4844879
0.394759935,4.75528258,2.4205588
0.427656596,4.45503262,2.29702515
0.460553257,4.04508497,2.11693247
0.493449918,3.53553391,1.88471711
0.52634658,2.93892626,1.60608822
0.559243241,2.2699525,1.28791428
0.592139902,1.54508497,0.938028238
0.625036563,0.782172325,0.565043632
0.657933225,5.05319528e-15,0.178146887
0.690829886,-0.782172325,-0.213136951
0.723726547,-1.54508497,-0.599172485
0.756623208,-2.2699525,-0.970454061
0.78951987,-2.93892626,-1.31783979
0.822416531,-3.53553391,-1.63277625
0.855313192,-4.04508497,-1.90750822
0.888209853,-4.45503262,-2.13527055
0.921106515,-4.75528258,-2.31045625
0.954003176,-4.9384417,-2.42875008
0.986899837,-5.0,-2.48724042
1.0197965,-4.9384417,-2.4844867
1.05269316,-4.75528258,-2.42055652
1.08558982,-4.45503262,-2.29702415
1.11848648,-4.04508497,-2.1169313
1.15138314,-3.53553391,-1.88471242
1.1842798,-2.93892626,-1.60608629
1.21717647,-2.2699525,-1.28791295
1.25007313,-1.54508497,-0.938026607
1.28296979,-0.782172325,-0.565042988
1.31586645,-3.2310851e-14,-0.178146289
1.34876311,0.782172325,0.213137019
1.38165977,1.54508497,0.599172144
1.41455643,2.2699525,0.97045403
1.44745309,2.93892626,1.31783947
1.48034976,3.53553391,1.6327761
1.51324642,4.04508497,1.9075096
1.54614308,4.45503262,2.13527143
1.57903974,4.75528258,2.31045608
1.6119364,4.9384417,2.42875036
1.64483306,5.0,2.48724046
1.67772972,4.9384417,2.48448649
1.71062638,4.75528258,2.42055644
1.74352305,4.45503262,2.29702418
1.77641971,4.04508497,2.11693134
1.80931637,3.53553391,1.88471294
1.84221303,2.93892626,1.6060878
1.87510969,2.2699525,1.28791376
1.90800635,1.54508497,0.938028383
1.94090301,0.782172325,0.565043725
1.97379967,6.40093989e-14,0.178146425
2.00669634,-0.782172325,-0.213136988
2.039593,-1.54508497,-0.599172276
2.07248966,-2.2699525,-0.97045433
2.10538632,-2.93892626,-1.31783992
2.13828298,-3.53553391,-1.63277617
2.17117964,-4.04508497,-1.90750811
2.2040763,-4.45503262,-2.13527103
2.23697296,-4.75528258,-2.310456
2.26986963,-4.9384417,-2.42875096
2.30276629,-5.0,-2.48724054
2.33566295,-4.9384417,-2.48448669
2.36855961,-4.75528258,-2.42055643
2.40145627,-4.45503262,-2.29702377
2.43435293,-4.04508497,-2.11693148
2.46724959,-3.53553391,-1.88471313
2.50014625,-2.93892626,-1.60608677
2.53304291,-2.2699525,-1.28791307
2.56593958,-1.54508497,-0.938026412
2.59883624,-0.782172325,-0.565043647
2.6317329,-9.12670547e-14,-0.178146421
2.66462956,0.782172325,0.21313733
2.69752622,1.54508497,0.599172472
2.73042288,2.2699525,0.970454649
2.76331954,2.93892626,1.31784046
