TIME,Addition_2.s_out.signal[1],SensorVoltage_1.v
0.0,0.0,0.0
0.0005,0.782172325,0.006459507
0.001,1.54508497,0.0253959502
0.0015,2.2699525,0.0559287958
0.002,2.93892626,0.0969055414
0.0025,3.53553391,0.146929671
0.003,4.04508497,0.204394583
0.0035,4.45503262,0.26752287
0.004,4.75528258,0.334409238
0.0045,4.9384417,0.403067615
0.005,5.0,0.471479383
0.0055,4.9384417,0.537643226
0.006,4.75528258,0.599623316
0.0065,4.45503262,0.655595458
0.007,4.04508497,0.703895077
0.0075,3.53553391,0.743054574
0.008,2.93892626,0.771841342
0.0085,2.2699525,0.789286826
0.009,1.54508497,0.794710325
0.0095,0.782172325,0.787735376
0.01,-8.269481020000001e-15,0.768299844
0.0105,-0.782172325,0.736653918
0.011,-1.54508497,0.693358003
0.0115,-2.2699525,0.639262244
0.012,-2.93892626,0.575495394
0.0125,-3.53553391,0.503427853
0.013,-4.04508497,0.424642223
0.0135,-4.45503262,0.340892041
0.014,-4.75528258,0.254059666
0.0145,-4.9384417,0.16610896
0.015,-5.0,0.0790372225
0.0155,-4.9384417,-0.00517465954
0.016,-4.75528258,-0.084609964
0.0165,-4.45503262,-0.157465972
0.017,-4.04508497,-0.222095511
0.0175,-3.53553391,-0.277049774
0.018,-2.93892626,-0.321113873
0.0185,-2.2699525,-0.35333592
0.019,-1.54508497,-0.373051565
0.0195,-0.782172325,-0.379900189
0.02,2.09798541e-14,-0.373833828
0.0205,0.782172325,-0.355118582
0.021,1.54508497,-0.324328203
0.0215,2.2699525,-0.282330015
0.022,2.93892626,-0.23026381
0.0225,3.53553391,-0.169513764
0.023,4.04508497,-0.101674607
0.0235,4.45503262,-0.0285121887
0.024,4.75528258,0.0480793545
0.0245,4.9384417,0.12612503
0.025,5.0,0.203616971
0.0255,4.9384417,0.278562061
0.026,4.75528258,0.349034894
0.0265,4.45503262,0.413222084
0.027,4.04508497,0.469467095
0.0275,3.53553391,0.516311549
0.028,2.93892626,0.552531593
0.0285,2.2699525,0.577166833
0.029,1.54508497,0.589544444
0.0295,0.782172325,0.589295619
0.03,-3.36902273e-14,0.576364458
0.0305,-0.782172325,0.551009475
0.031,-1.54508497,0.513797003
0.0315,-2.2699525,0.465587309
0.032,-2.93892626,0.407513233
0.0325,-3.53553391,0.340952293
0.033,-4.04508497,0.26749278
0.0335,-4.45503262,0.188894639
0.034,-4.75528258,0.107045056
0.0345,-4.9384417,0.0239140356
0.035,-5.0,-0.0584964436
0.0355,-4.9384417,-0.13819978
0.036,-4.75528258,-0.213274997
0.0365,-4.45503262,-0.281913435
0.037,-4.04508497,-0.34246252
0.0375,-3.53553391,-0.393470257
0.038,-2.93892626,-0.43371753
0.0385,-2.2699525,-0.462247649
0.039,-1.54508497,-0.47839289
0.0395,-0.782172325,-0.48178935
0.04,4.19597083e-14,-0.472384235
0.0405,0.782172325,-0.450439011
0.041,1.54508497,-0.416525182
0.0415,2.2699525,-0.371505452
0.042,2.93892626,-0.316516219
0.0425,3.53553391,-0.252938942
0.043,4.04508497,-0.182364885
0.0435,4.45503262,-0.106557194
0.044,4.75528258,-0.0274070231
0.0445,4.9384417,0.0531131749
0.045,5.0,0.132998189
0.0455,4.9384417,0.210258061
0.046,4.75528258,0.282970071
0.0465,4.45503262,0.34932243
0.047,4.04508497,0.407662039
0.0475,3.53553391,0.456533155
0.048,2.93892626,0.494713399
0.0485,2.2699525,0.52124413
0.049,1.54508497,0.535455178
0.0495,0.782172325,0.536979571
0.05,-5.91109735e-14,0.525763531
0.0505,-0.782172325,0.502067434
0.051,-1.54508497,0.466460453
0.0515,-2.2699525,0.419803373
0.052,-2.93892626,0.363230393
0.0525,-3.53553391,0.298121771
0.053,-4.04508497,0.226067279
0.0535,-4.45503262,0.148826955
0.054,-4.75528258,0.0682912377
0.0545,-4.9384417,-0.0135692083
0.055,-5.0,-0.0947503287
0.0555,-4.9384417,-0.173264401
0.056,-4.75528258,-0.247189621
0.0565,-4.45503262,-0.314715219
0.057,-4.04508497,-0.374189347
0.0575,-3.53553391,-0.424157559
0.058,-2.93892626,-0.463400506
0.0585,-2.2699525,-0.490958837
0.059,-1.54508497,-0.506163478
0.0595,-0.782172325,-0.508649704
0.06,6.73804545e-14,-0.498362398
0.0605,0.782172325,-0.475565079
0.061,1.54508497,-0.440826866
0.0615,2.2699525,-0.395010054
0.062,2.93892626,-0.339250546
0.0625,3.53553391,-0.274928111
0.063,4.04508497,-0.203633434
0.0635,4.45503262,-0.127128841
0.064,4.75528258,-0.0473044112
0.0645,4.9384417,0.0338679121
0.065,5.0,0.114383725
0.0655,4.9384417,0.192254342
0.066,4.75528258,0.265556522
0.0665,4.45503262,0.332480577
0.067,4.04508497,0.39137274
0.0675,3.53553391,0.440777787
0.068,2.93892626,0.479474023
0.0685,2.2699525,0.506505301
0.069,1.54508497,0.521200984
0.0695,0.782172325,0.523195042
0.07,-8.45317197e-14,0.512431663
0.0705,-0.782172325,0.48917356
0.071,-1.54508497,0.453988678
0.0715,-2.2699525,0.407740254
0.072,-2.93892626,0.351563148
0.0725,-3.53553391,0.286837128
0.073,-4.04508497,0.215151923
0.0735,-4.45503262,0.138269733
0.074,-4.75528258,0.0580801051
0.0745,-4.9384417,-0.0234455988
0.075,-5.0,-0.104303012
0.0755,-4.9384417,-0.182503968
0.076,-4.75528258,-0.256125646
0.0765,-4.45503262,-0.323358296
0.077,-4.04508497,-0.382549045
0.0775,-3.53553391,-0.432242919
0.078,-2.93892626,-0.471219064
0.0785,-2.2699525,-0.498520214
0.079,-1.54508497,-0.513476397
0.0795,-0.782172325,-0.515721708
0.08,8.39194166e-14,-0.505203761
0.0805,0.782172325,-0.482183258
0.081,1.54508497,-0.447228391
0.0815,2.2699525,-0.401201621
0.082,2.93892626,-0.345238388
0.0825,3.53553391,-0.280718962
0.083,4.04508497,-0.20923409
0.0835,4.45503262,-0.132545494
0.084,4.75528258,-0.0525429663
0.0845,4.9384417,0.0288011378
0.085,5.0,0.109482916
0.0855,4.9384417,0.187513972
0.086,4.75528258,0.260971524
0.0865,4.45503262,0.328045341
0.087,4.04508497,0.387082311
0.0875,3.53553391,0.436627794
0.088,2.93892626,0.475460151
0.0885,2.2699525,0.502622085
0.089,1.54508497,0.517443558
0.0895,0.782172325,0.519558462
0.09,-1.01070682e-13,0.508913558
0.0905,-0.782172325,0.485769876
0.091,-1.54508497,0.450696185
0.0915,-2.2699525,0.404555205
0.092,-2.93892626,0.348481957
0.0925,-3.53553391,0.283856243
0.093,-4.04508497,0.212268467
0.0935,-4.45503262,0.135480341
0.094,-4.75528258,0.055381955
0.0945,-4.9384417,-0.0260561262
0.095,-5.0,-0.106827841
0.0955,-4.9384417,-0.184946168
0.096,-4.75528258,-0.258488707
0.0965,-4.45503262,-0.32564397
0.097,-4.04508497,-0.384759994
0.0975,-3.53553391,-0.434381975
0.098,-2.93892626,-0.473288165
0.0985,-2.2699525,-0.500521311
0.099,-1.54508497,-0.515411766
0.0995,-0.782172325,-0.51759328
0.1,1.18221947e-13,-0.507012809
0.1005,0.782172325,-0.483931438
0.101,1.54508497,-0.448918916
0.1015,2.2699525,-0.40283678
0.102,2.93892626,-0.346819903
0.1025,3.53553391,-0.282248197
0.103,4.04508497,-0.210712536
0.1035,4.45503262,-0.133975154
0.104,4.75528258,-0.0539261438
0.1045,4.9384417,0.0274641365
0.105,5.0,0.108189752
0.1055,4.9384417,0.186263727
0.106,4.75528258,0.259762366
0.1065,4.45503262,0.326876025
0.107,4.04508497,0.385951922
0.1075,3.53553391,0.435534692
0.108,2.93892626,0.474403371
0.1085,2.2699525,0.501600359
0.109,1.54508497,0.516455295
0.1095,0.782172325,0.518602612
0.11,-1.17609644e-13,0.507989042
0.1105,-0.782172325,0.484875663
0.111,-1.54508497,0.449831259
0.1115,-2.2699525,0.403718598
0.112,-2.93892626,0.347672792
0.1125,-3.53553391,0.283073478
0.113,-4.04508497,0.211511362
0.1135,-4.45503262,0.134747432
0.114,-4.75528258,0.0546723704
0.1145,-4.9384417,-0.0267417792
0.115,-5.0,-0.107490896
0.1155,-4.9384417,-0.18558731
0.116,-4.75528258,-0.259108045
0.1165,-4.45503262,-0.326243512
0.117,-4.04508497,-0.385340287
0.1175,-3.53553391,-0.434943037
0.118,-2.93892626,-0.473830726
0.1185,-2.2699525,-0.501046031
0.119,-1.54508497,-0.515919184
0.1195,-0.782172325,-0.518084124
0.12,1.34760909e-13,-0.507487617
0.1205,0.782172325,-0.484391201
0.121,1.54508497,-0.449364347
0.1215,2.2699525,-0.403268098
0.122,2.93892626,-0.347238517
0.1225,3.53553391,-0.282654627
0.123,4.04508497,-0.211106212
0.1235,4.45503262,-0.134356273
0.124,4.75528258,-0.0542947199
0.1245,4.9384417,0.0271071496
0.125,5.0,0.107844436
0.1255,4.9384417,0.185929813
0.126,4.75528258,0.259439569
0.1265,4.45503262,0.326563504
0.127,4.04508497,0.385649633
0.1275,3.53553391,0.435243019
0.128,2.93892626,0.474121193
0.1285,2.2699525,0.501327261
0.129,1.54508497,0.516191865
0.1295,0.782172325,0.518348928
0.13,-1.51912174e-13,0.50774478
0.1305,-0.782172325,0.484641515
0.131,-1.54508497,0.449605213
0.1315,-2.2699525,0.403499879
0.132,-2.93892626,0.34746127
0.1325,-3.53553391,0.282869062
0.133,-4.04508497,0.211313255
0.1335,-4.45503262,0.134555883
0.134,-4.75528258,0.0544879564
0.1345,-4.9384417,-0.026919959
0.135,-5.0,-0.107663426
0.1355,-4.9384417,-0.185754329
0.136,-4.75528258,-0.259269847
0.1365,-4.45503262,-0.326399768
0.137,-4.04508497,-0.385491305
0.1375,-3.53553391,-0.435089331
0.138,-2.93892626,-0.473972389
0.1385,-2.2699525,-0.501183035
0.139,-1.54508497,-0.516052046
0.1395,-0.782172325,-0.518212684
0.14,1.69063439e-13,-0.507612368
0.1405,0.782172325,-0.484511927
0.141,1.54508497,-0.449481642
0.1415,2.2699525,-0.403380969
0.142,2.93892626,-0.347346786
0.1425,3.53553391,-0.282758892
0.143,4.04508497,-0.211207564
0.1435,4.45503262,-0.13445429
0.144,4.75528258,-0.0543895515
0.1445,4.9384417,0.0270151904
0.145,5.0,0.107755476
0.1455,4.9384417,0.185843526
0.146,4.75528258,0.259356859
0.1465,4.45503262,0.32648362
0.147,4.04508497,0.385572232
0.1475,3.53553391,0.43516762
0.148,2.93892626,0.474048158
0.1485,2.2699525,0.501256284
0.149,1.54508497,0.516122529
0.1495,0.782172325,0.518280722
0.15,-1.50687568e-13,0.507677705
0.1505,-0.782172325,0.484574519
0.151,-1.54508497,0.449540607
0.1515,-2.2699525,0.403438099
0.152,-2.93892626,0.347402225
0.1525,-3.53553391,0.282812269
0.153,-4.04508497,0.211259034
0.1535,-4.45503262,0.134503965
0.154,-4.75528258,0.0544374385
0.1545,-4.9384417,-0.0269689001
0.155,-5.0,-0.107710438
0.1555,-4.9384417,-0.185799828
0.156,-4.75528258,-0.259313453
0.1565,-4.45503262,-0.326442013
0.157,-4.04508497,-0.385531779
